danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.737,0.845,0,-10.594,1,0.0326,0.427,0.00615,0.343,0.966,111.973,4
0.39,0.109,7,-21.289,1,0.0315,0.858,0.000606,0.116,0.221,69.226,4
0.627,0.478,3,-11.919,1,0.126,0.645,0.0123,0.08,0.382,74.594,4
0.695,0.641,7,-11.181,0,0.0536,0.479,2.83e-06,0.0972,0.654,128.779,4
0.472,0.163,9,-15.87,1,0.0249,0.905,0.0137,0.118,0.115,83.198,3
0.469,0.203,7,-11.574,1,0.0314,0.85,2.05e-05,0.116,0.289,158.028,4
0.424,0.438,7,-15.192,1,0.0529,0.064,0,0.0764,0.924,175.139,4
0.701,0.442,9,-15.387,1,0.08,0.688,4.86e-06,0.624,0.794,125.829,4
0.357,0.394,7,-6.527,1,0.03,0.79,0.203,0.136,0.101,67.154,4
0.778,0.441,7,-15.259,1,0.0314,0.22,0.000652,0.171,0.944,116.918,4
0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4
0.58,0.831,2,-6.648,1,0.0509,0.159,1e-06,0.0902,0.929,166.946,4
0.489,0.906,9,-3.64,1,0.102,0.423,0.129,0.0922,0.699,147.137,4
0.476,0.722,0,-10.017,1,0.0646,0.598,0,0.184,0.909,92.966,4
0.537,0.446,3,-10.506,1,0.0278,0.722,0,0.105,0.714,106.984,4
0.605,0.547,8,-11.647,1,0.0252,0.16,0.821,0.124,0.69,92.442,4
0.682,0.566,7,-11.186,1,0.0353,0.457,2.89e-06,0.0812,0.681,119.615,4
0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,4
0.512,0.771,4,-7.006,1,0.0402,0.168,0,0.0895,0.803,129.639,4
0.475,0.701,0,-14.062,1,0.138,0.00423,0.929,0.398,0.189,83.735,4
0.694,0.656,10,-10.149,1,0.0271,0.499,0.618,0.0948,0.934,101.232,4
0.64,0.664,0,-4.73,1,0.0289,0.196,0,0.31,0.879,134.002,4
0.364,0.266,5,-16.351,1,0.0311,0.401,0.00128,0.202,0.127,112.86,4
0.598,0.85,9,-9.077,1,0.0352,0.823,0,0.258,0.928,126.325,4
